algo,dataset,bandwidth,outlier_prop,n_block,kullback_f0_f,kullback_f_f0,jensen,auc_anomaly
kde,iris,0.24326293898144086,0.05,,,,,0.892
mom-kde,iris,0.24326293898144086,0.05,1,,,,0.892
mom-kde,iris,0.24326293898144086,0.05,1,,,,0.892
mom-kde,iris,0.24326293898144086,0.05,2,,,,0.888
mom-kde,iris,0.24326293898144086,0.05,2,,,,0.884
mom-kde,iris,0.24326293898144086,0.05,3,,,,0.83
mom-kde,iris,0.24326293898144086,0.05,3,,,,0.84
mom-kde,iris,0.24326293898144086,0.05,4,,,,0.974
mom-kde,iris,0.24326293898144086,0.05,4,,,,0.84
mom-kde,iris,0.24326293898144086,0.05,5,,,,0.97
mom-kde,iris,0.24326293898144086,0.05,5,,,,0.9540000000000001
mom-kde,iris,0.24326293898144086,0.05,6,,,,0.9580000000000001
mom-kde,iris,0.24326293898144086,0.05,6,,,,1.0
mom-kde,iris,0.24326293898144086,0.05,7,,,,0.976
mom-kde,iris,0.24326293898144086,0.05,7,,,,0.976
mom-kde,iris,0.24326293898144086,0.05,8,,,,1.0
mom-kde,iris,0.24326293898144086,0.05,8,,,,0.976
mom-kde,iris,0.24326293898144086,0.05,9,,,,0.998
mom-kde,iris,0.24326293898144086,0.05,9,,,,0.998
mom-kde,iris,0.24326293898144086,0.05,10,,,,1.0
mom-kde,iris,0.24326293898144086,0.05,11,,,,0.998
rkde,iris,0.24326293898144086,0.05,,,,,0.992
spkde,iris,0.24326293898144086,0.05,,,,,0.892
kde,iris,0.24326293898144086,0.1,,,,,0.7481818181818181
mom-kde,iris,0.24326293898144086,0.1,1,,,,0.7481818181818181
mom-kde,iris,0.24326293898144086,0.1,2,,,,0.7472727272727273
mom-kde,iris,0.24326293898144086,0.1,3,,,,0.7336363636363636
mom-kde,iris,0.24326293898144086,0.1,4,,,,0.7618181818181818
mom-kde,iris,0.24326293898144086,0.1,5,,,,0.7245454545454546
mom-kde,iris,0.24326293898144086,0.1,6,,,,0.7736363636363638
mom-kde,iris,0.24326293898144086,0.1,7,,,,0.9318181818181819
mom-kde,iris,0.24326293898144086,0.1,9,,,,0.8645454545454546
mom-kde,iris,0.24326293898144086,0.1,10,,,,0.9045454545454544
mom-kde,iris,0.24326293898144086,0.1,11,,,,0.94
mom-kde,iris,0.24326293898144086,0.1,12,,,,0.9827272727272727
mom-kde,iris,0.24326293898144086,0.1,13,,,,0.9663636363636363
mom-kde,iris,0.24326293898144086,0.1,14,,,,0.9681818181818181
mom-kde,iris,0.24326293898144086,0.1,16,,,,0.9490909090909091
mom-kde,iris,0.24326293898144086,0.1,17,,,,0.999090909090909
mom-kde,iris,0.24326293898144086,0.1,18,,,,0.979090909090909
mom-kde,iris,0.24326293898144086,0.1,19,,,,0.9981818181818181
mom-kde,iris,0.24326293898144086,0.1,20,,,,1.0
mom-kde,iris,0.24326293898144086,0.1,21,,,,0.999090909090909
mom-kde,iris,0.24326293898144086,0.1,23,,,,0.9981818181818181
rkde,iris,0.24326293898144086,0.1,,,,,0.9881818181818182
spkde,iris,0.24326293898144086,0.1,,,,,0.7481818181818181
kde,iris,0.24326293898144086,0.15,,,,,0.6435294117647059
mom-kde,iris,0.24326293898144086,0.15,1,,,,0.6435294117647059
mom-kde,iris,0.24326293898144086,0.15,2,,,,0.638235294117647
mom-kde,iris,0.24326293898144086,0.15,4,,,,0.6682352941176469
mom-kde,iris,0.24326293898144086,0.15,6,,,,0.741764705882353
mom-kde,iris,0.24326293898144086,0.15,8,,,,0.6852941176470588
mom-kde,iris,0.24326293898144086,0.15,9,,,,0.59
mom-kde,iris,0.24326293898144086,0.15,11,,,,0.6405882352941177
mom-kde,iris,0.24326293898144086,0.15,13,,,,0.7988235294117647
mom-kde,iris,0.24326293898144086,0.15,15,,,,0.7923529411764706
mom-kde,iris,0.24326293898144086,0.15,17,,,,0.6541176470588235
mom-kde,iris,0.24326293898144086,0.15,18,,,,0.9647058823529412
mom-kde,iris,0.24326293898144086,0.15,20,,,,0.968235294117647
mom-kde,iris,0.24326293898144086,0.15,22,,,,0.8541176470588234
mom-kde,iris,0.24326293898144086,0.15,24,,,,0.9970588235294118
mom-kde,iris,0.24326293898144086,0.15,26,,,,0.871764705882353
mom-kde,iris,0.24326293898144086,0.15,27,,,,0.9941176470588236
mom-kde,iris,0.24326293898144086,0.15,29,,,,0.9123529411764706
mom-kde,iris,0.24326293898144086,0.15,31,,,,0.9958823529411764
mom-kde,iris,0.24326293898144086,0.15,33,,,,0.9923529411764705
mom-kde,iris,0.24326293898144086,0.15,35,,,,0.9964705882352941
rkde,iris,0.24326293898144086,0.15,,,,,0.9905882352941177
spkde,iris,0.24326293898144086,0.15,,,,,0.6435294117647059
kde,iris,0.24326293898144086,0.2,,,,,0.3784
mom-kde,iris,0.24326293898144086,0.2,1,,,,0.3784
mom-kde,iris,0.24326293898144086,0.2,3,,,,0.328
mom-kde,iris,0.24326293898144086,0.2,6,,,,0.4064
mom-kde,iris,0.24326293898144086,0.2,8,,,,0.43119999999999997
mom-kde,iris,0.24326293898144086,0.2,11,,,,0.35400000000000004
mom-kde,iris,0.24326293898144086,0.2,14,,,,0.4
mom-kde,iris,0.24326293898144086,0.2,16,,,,0.7996
mom-kde,iris,0.24326293898144086,0.2,19,,,,0.6708
mom-kde,iris,0.24326293898144086,0.2,22,,,,0.782
mom-kde,iris,0.24326293898144086,0.2,24,,,,0.7692
mom-kde,iris,0.24326293898144086,0.2,27,,,,0.7332000000000001
mom-kde,iris,0.24326293898144086,0.2,29,,,,0.9936
mom-kde,iris,0.24326293898144086,0.2,32,,,,0.9912000000000001
mom-kde,iris,0.24326293898144086,0.2,35,,,,0.9872
mom-kde,iris,0.24326293898144086,0.2,37,,,,0.994
mom-kde,iris,0.24326293898144086,0.2,40,,,,0.9816
mom-kde,iris,0.24326293898144086,0.2,43,,,,0.9752
mom-kde,iris,0.24326293898144086,0.2,45,,,,0.9907999999999999
mom-kde,iris,0.24326293898144086,0.2,48,,,,0.982
mom-kde,iris,0.24326293898144086,0.2,51,,,,0.9904
rkde,iris,0.24326293898144086,0.2,,,,,0.9896
spkde,iris,0.24326293898144086,0.2,,,,,0.3784
kde,iris,0.24326293898144086,0.25,,,,,0.36606060606060603
mom-kde,iris,0.24326293898144086,0.25,1,,,,0.36606060606060603
mom-kde,iris,0.24326293898144086,0.25,4,,,,0.34515151515151515
mom-kde,iris,0.24326293898144086,0.25,7,,,,0.38636363636363635
mom-kde,iris,0.24326293898144086,0.25,11,,,,0.44727272727272727
mom-kde,iris,0.24326293898144086,0.25,14,,,,0.506969696969697
mom-kde,iris,0.24326293898144086,0.25,18,,,,0.5587878787878788
mom-kde,iris,0.24326293898144086,0.25,21,,,,0.5348484848484848
mom-kde,iris,0.24326293898144086,0.25,25,,,,0.6875757575757575
mom-kde,iris,0.24326293898144086,0.25,28,,,,0.6887878787878788
mom-kde,iris,0.24326293898144086,0.25,32,,,,0.7139393939393939
mom-kde,iris,0.24326293898144086,0.25,35,,,,0.9893939393939394
mom-kde,iris,0.24326293898144086,0.25,38,,,,0.7578787878787879
mom-kde,iris,0.24326293898144086,0.25,42,,,,0.8090909090909091
mom-kde,iris,0.24326293898144086,0.25,45,,,,0.9903030303030304
mom-kde,iris,0.24326293898144086,0.25,49,,,,0.9845454545454546
mom-kde,iris,0.24326293898144086,0.25,52,,,,0.980909090909091
mom-kde,iris,0.24326293898144086,0.25,56,,,,0.9836363636363635
mom-kde,iris,0.24326293898144086,0.25,59,,,,0.9809090909090908
mom-kde,iris,0.24326293898144086,0.25,63,,,,0.986060606060606
mom-kde,iris,0.24326293898144086,0.25,66,,,,0.976969696969697
rkde,iris,0.24326293898144086,0.25,,,,,0.9906060606060606
spkde,iris,0.24326293898144086,0.25,,,,,0.36606060606060603
kde,iris,0.24326293898144086,0.3,,,,,0.2830952380952381
mom-kde,iris,0.24326293898144086,0.3,1,,,,0.2830952380952381
mom-kde,iris,0.24326293898144086,0.3,4,,,,0.2642857142857143
mom-kde,iris,0.24326293898144086,0.3,8,,,,0.2945238095238095
mom-kde,iris,0.24326293898144086,0.3,12,,,,0.3126190476190476
mom-kde,iris,0.24326293898144086,0.3,15,,,,0.3526190476190476
mom-kde,iris,0.24326293898144086,0.3,19,,,,0.32190476190476197
mom-kde,iris,0.24326293898144086,0.3,23,,,,0.4042857142857143
mom-kde,iris,0.24326293898144086,0.3,26,,,,0.3338095238095238
mom-kde,iris,0.24326293898144086,0.3,30,,,,0.35071428571428576
mom-kde,iris,0.24326293898144086,0.3,34,,,,0.430952380952381
mom-kde,iris,0.24326293898144086,0.3,37,,,,0.5585714285714286
mom-kde,iris,0.24326293898144086,0.3,41,,,,0.44023809523809526
mom-kde,iris,0.24326293898144086,0.3,45,,,,0.5483333333333333
mom-kde,iris,0.24326293898144086,0.3,48,,,,0.9849999999999999
mom-kde,iris,0.24326293898144086,0.3,52,,,,0.9635714285714285
mom-kde,iris,0.24326293898144086,0.3,56,,,,0.9226190476190477
mom-kde,iris,0.24326293898144086,0.3,59,,,,0.9295238095238094
mom-kde,iris,0.24326293898144086,0.3,63,,,,0.9754761904761904
mom-kde,iris,0.24326293898144086,0.3,67,,,,0.9323809523809523
mom-kde,iris,0.24326293898144086,0.3,71,,,,0.8895238095238095
rkde,iris,0.24326293898144086,0.3,,,,,0.5449999999999999
spkde,iris,0.24326293898144086,0.3,,,,,0.2830952380952381
kde,iris,0.24326293898144086,0.35,,,,,0.21413043478260868
mom-kde,iris,0.24326293898144086,0.35,1,,,,0.21413043478260868
mom-kde,iris,0.24326293898144086,0.35,4,,,,0.2806521739130435
mom-kde,iris,0.24326293898144086,0.35,8,,,,0.16130434782608696
mom-kde,iris,0.24326293898144086,0.35,12,,,,0.24
mom-kde,iris,0.24326293898144086,0.35,15,,,,0.21130434782608698
mom-kde,iris,0.24326293898144086,0.35,19,,,,0.2415217391304348
mom-kde,iris,0.24326293898144086,0.35,23,,,,0.338695652173913
mom-kde,iris,0.24326293898144086,0.35,26,,,,0.2841304347826087
mom-kde,iris,0.24326293898144086,0.35,30,,,,0.34195652173913044
mom-kde,iris,0.24326293898144086,0.35,34,,,,0.25478260869565217
mom-kde,iris,0.24326293898144086,0.35,37,,,,0.301304347826087
mom-kde,iris,0.24326293898144086,0.35,41,,,,0.361304347826087
mom-kde,iris,0.24326293898144086,0.35,45,,,,0.5308695652173913
mom-kde,iris,0.24326293898144086,0.35,48,,,,0.49586956521739123
mom-kde,iris,0.24326293898144086,0.35,52,,,,0.46369565217391306
mom-kde,iris,0.24326293898144086,0.35,56,,,,0.7458695652173913
mom-kde,iris,0.24326293898144086,0.35,59,,,,0.45717391304347826
mom-kde,iris,0.24326293898144086,0.35,63,,,,0.5780434782608695
mom-kde,iris,0.24326293898144086,0.35,67,,,,0.7309782608695652
mom-kde,iris,0.24326293898144086,0.35,71,,,,0.7873913043478262
rkde,iris,0.24326293898144086,0.35,,,,,0.33847826086956523
spkde,iris,0.24326293898144086,0.35,,,,,0.21413043478260868
